,CAI,dS,dN,dN/dS,dS adjusted,dN/dS adjusted,fitness,fdS,fdN,fdNdS,fdSadj,fdNdSadj
CAI,1.0,-0.5723013212605634,-0.38771426554144245,-0.3212169246187037,0.003920073457637398,-0.41847265239009795,-0.14405223666176123,-0.681321692789116,-0.5417413593336902,-0.39683840834852363,0.006135203751409304,-0.559475314300625
dS,-0.5723013212605634,1.0,0.4748316124824891,0.24711309432145848,0.8177936479926294,0.3476165165553053,0.14151175892034318,0.9438932484038209,0.5656367822805921,0.32985693512556025,0.811855635897871,0.4673279524965288
dN,-0.38771426554144245,0.4748316124824891,1.0,0.9470069247515505,0.3069277825290801,0.9725007684618561,0.2118317766313078,0.4175946217780385,0.8514893205901273,0.8297773578795361,0.2948465624961602,0.8469567952662231
dN/dS,-0.3212169246187037,0.24711309432145848,0.9470069247515505,1.0,0.07590735718408645,0.9877338125708831,0.20980755276308866,0.21381915791782433,0.8252447400659901,0.8700993388946004,0.062342620268547984,0.8532032488740497
dS adjusted,0.003920073457637398,0.8177936479926294,0.3069277825290801,0.07590735718408645,1.0,0.13021040850269003,0.0714685655634058,0.6728637594037319,0.30956177663778517,0.12373661368071624,0.9943135841441513,0.17723443242685807
dN/dS adjusted,-0.41847265239009795,0.3476165165553053,0.9725007684618561,0.9877338125708831,0.13021040850269003,1.0,0.2160231985699975,0.32276107601936116,0.8472622791162575,0.8577873771857911,0.11800995792840195,0.8682772072538718
fitness,-0.14405223666176123,0.14151175892034318,0.2118317766313078,0.20980755276308866,0.0714685655634058,0.2160231985699975,1.0,0.14742893428364254,0.26514777365728853,0.2539795025058398,0.07072839331069163,0.2640212894926862
fdS,-0.681321692789116,0.9438932484038209,0.4175946217780385,0.21381915791782433,0.6728637594037319,0.32276107601936116,0.14742893428364254,1.0,0.5563451625424283,0.3055125465247986,0.6790914805586882,0.4747242653117516
fdN,-0.5417413593336902,0.5656367822805921,0.8514893205901273,0.8252447400659901,0.30956177663778517,0.8472622791162575,0.26514777365728853,0.5563451625424283,1.0,0.9599633381557099,0.30653547444185153,0.9900099226400597
fdNdS,-0.39683840834852363,0.32985693512556025,0.8297773578795361,0.8700993388946004,0.12373661368071624,0.8577873771857911,0.2539795025058398,0.3055125465247986,0.9599633381557099,1.0,0.11823248733453234,0.9754556814604697
fdSadj,0.006135203751409304,0.811855635897871,0.2948465624961602,0.062342620268547984,0.9943135841441513,0.11800995792840195,0.07072839331069163,0.6790914805586882,0.30653547444185153,0.11823248733453234,1.0,0.1731998812219962
fdNdSadj,-0.559475314300625,0.4673279524965288,0.8469567952662231,0.8532032488740497,0.17723443242685807,0.8682772072538718,0.2640212894926862,0.4747242653117516,0.9900099226400597,0.9754556814604697,0.1731998812219962,1.0
