OUT,MID1,MID2,MID3,MID4,MID5,MID6,MID7,MID8,MID9,kingdom,phylum,classes,phylogeny
1,0,2,1,0,5,0,0,0,0,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Acidilobales Acidilobaceae Acidilobus"
2,0,14,15,0,26,0,1,0,1,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Acidilobales Caldisphaeraceae Caldisphaera"
3,7,23,14,2,28,7,8,0,16,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Ignisphaera"
4,0,0,0,0,1,0,0,0,0,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Stetteria"
5,0,1,4,0,5,1,2,0,2,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Sulfophobococcus"
6,0,0,1,0,0,0,0,0,0,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Thermodiscus"
7,0,2,1,0,2,0,1,0,0,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Thermosphaera"
8,0,1,0,0,0,0,0,0,0,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Pyrodictiaceae Hyperthermus"
9,0,0,3,0,2,1,1,0,5,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Pyrodictiaceae Pyrodictium"
10,2,2,0,0,3,2,1,0,0,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Pyrodictiaceae Pyrolobus"
11,3,10,4,0,14,5,5,1,6,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Sulfolobales Sulfolobaceae Stygiolobus"
12,0,11,2,1,5,4,3,0,2,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Sulfolobales Sulfolobaceae Sulfurisphaera"
13,3,9,5,0,10,4,5,0,5,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Thermoproteales Thermofilaceae Thermofilum"
14,0,5,3,0,18,1,0,0,3,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Thermoproteales Thermoproteaceae Caldivirga"
15,0,3,1,0,6,0,0,0,0,Archaea,"""Crenarchaeota""",Thermoprotei,"Archaea ""Crenarchaeota"" Thermoprotei Thermoproteales Thermoproteaceae Thermocladium"
16,7,9,7,1,17,12,18,0,14,Archaea,"""Euryarchaeota""","""Methanomicrobia""","Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanocellales Methanocellaceae Methanocella"
17,0,1,4,0,7,2,0,0,1,Archaea,"""Euryarchaeota""","""Methanomicrobia""","Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanomicrobiales Methanomicrobiaceae Methanomicrobium"
18,0,0,1,0,0,0,0,0,2,Archaea,"""Euryarchaeota""","""Methanomicrobia""","Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanomicrobiales Methanomicrobiaceae Methanosphaerula"
19,0,0,0,0,1,0,1,0,1,Archaea,"""Euryarchaeota""","""Methanomicrobia""","Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanomicrobiales Methanomicrobiales_incertae_sedis Methanolinea"
20,0,0,0,0,0,0,1,0,0,Archaea,"""Euryarchaeota""","""Methanomicrobia""","Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanomicrobiales Methanospirillaceae Methanospirillum"
21,1,12,2,0,11,1,2,0,6,Archaea,"""Euryarchaeota""","""Methanomicrobia""","Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanosarcinales Methanosarcinaceae Methanimicrococcus"
22,0,0,1,0,2,1,0,0,0,Archaea,"""Euryarchaeota""","""Methanomicrobia""","Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanosarcinales Methanosarcinaceae Methanosalsum"
23,1,2,1,0,3,1,2,0,3,Archaea,"""Euryarchaeota""","""Methanomicrobia""","Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanosarcinales Methermicoccaceae Methermicoccus"
24,1,4,0,1,8,4,9,0,3,Archaea,"""Euryarchaeota""",Archaeoglobi,"Archaea ""Euryarchaeota"" Archaeoglobi Archaeoglobales Archaeoglobaceae Ferroglobus"
25,1,0,0,0,1,0,2,0,3,Archaea,"""Euryarchaeota""",Archaeoglobi,"Archaea ""Euryarchaeota"" Archaeoglobi Archaeoglobales Archaeoglobaceae Geoglobus"
26,0,3,3,0,1,0,0,0,0,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Haladaptatus"
27,0,1,1,0,1,0,0,0,0,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halogeometricum"
28,0,0,0,0,1,0,0,0,0,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halopiger"
29,1,4,3,0,7,4,3,0,4,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Haloplanus"
30,4,3,2,0,1,0,0,0,1,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Haloquadratum"
31,0,0,0,0,2,1,0,0,0,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halosarcina"
32,1,5,2,0,1,3,2,0,2,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halosimplex"
33,0,0,1,0,1,1,0,0,1,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halostagnicola"
34,2,2,2,0,1,3,6,0,4,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Natronobacterium"
35,4,26,27,0,36,0,4,0,2,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Natronomonas"
36,0,1,1,0,4,1,1,0,1,Archaea,"""Euryarchaeota""",Methanobacteria,"Archaea ""Euryarchaeota"" Methanobacteria Methanobacteriales Methanobacteriaceae Methanosphaera"
